customer_id,name,age,email,phone,address,preferences,dietary_restrictions,loyalty_status,visit_frequency,average_spend,preferred_dining_times,preferred_cuisines,special_occasions
949e5992-2ea6-4691-9d3a-437499143813,Holly Brown,34,hhale@example.net,+1-977-932-5184x259,"61917 Lori Forge
Riversstad, AS 00947","{'seating_preference': 'outdoor', 'noise_level': 'lively', 'lighting': 'dim', 'music_preference': 'background', 'table_size': '8-top', 'special_requests': ['window seat', 'booth']}",[],platinum,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2024, 9, 7, 17, 3, 26, 648655), 'average_visit_duration': 118, 'preferred_visit_days': ['Tuesday', 'Sunday', 'Monday', 'Friday', 'Thursday'], 'visit_pattern': 'occasional'}","{'per_visit': 48.96, 'per_month': 879.58, 'per_year': 4640.62}","['breakfast', 'late_night']",['Mediterranean'],"[{'type': 'date_night', 'frequency': 'special', 'preferred_seating': 'private_room', 'average_group_size': 13}, {'type': 'date_night', 'frequency': 'special', 'preferred_seating': 'private_room', 'average_group_size': 13}]"
207f78dd-37ce-4d04-bb90-9ab4a5a07189,Erik James,60,barbara19@example.net,414.891.2955,"181 Mary Key
Julianmouth, NH 14913","{'seating_preference': 'private_room', 'noise_level': 'moderate', 'lighting': 'dim', 'music_preference': 'none', 'table_size': '2-top', 'special_requests': []}",[],silver,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2024, 11, 16, 9, 41, 9, 81931), 'average_visit_duration': 101, 'preferred_visit_days': ['Wednesday', 'Tuesday', 'Monday', 'Sunday', 'Friday', 'Thursday'], 'visit_pattern': 'regular'}","{'per_visit': 98.93, 'per_month': 340.65, 'per_year': 3747.12}","['lunch', 'breakfast', 'late_night', 'dinner']","['Mediterranean', 'Contemporary American']",[]
ff46746b-b980-4c8e-add8-2ed1ab1ee480,Shannon Wilkins,18,edillon@example.net,588.724.8764,"055 Wright Canyon Suite 400
Jessefort, IN 73587","{'seating_preference': 'private_room', 'noise_level': 'lively', 'lighting': 'dim', 'music_preference': 'background', 'table_size': '2-top', 'special_requests': ['window seat', 'quiet corner']}",[],silver,"{'visits_per_month': 7, 'last_visit': datetime.datetime(2025, 6, 8, 14, 42, 52, 883175), 'average_visit_duration': 158, 'preferred_visit_days': ['Monday', 'Friday', 'Wednesday', 'Tuesday', 'Sunday', 'Saturday', 'Thursday'], 'visit_pattern': 'regular'}","{'per_visit': 104.69, 'per_month': 165.55, 'per_year': 1662.28}",['lunch'],"['Mediterranean', 'Contemporary American']",[]
9263d61f-0387-467c-979e-748055ed40cd,Jared Cooper,81,christine77@example.org,737-452-0389x513,"0384 Miller Prairie Apt. 888
Port Angelachester, WA 26510","{'seating_preference': 'bar', 'noise_level': 'moderate', 'lighting': 'moderate', 'music_preference': 'live', 'table_size': '4-top', 'special_requests': ['away from kitchen']}",[],bronze,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2024, 12, 4, 12, 45, 12, 534765), 'average_visit_duration': 110, 'preferred_visit_days': ['Monday', 'Friday', 'Thursday', 'Saturday', 'Sunday', 'Wednesday'], 'visit_pattern': 'occasional'}","{'per_visit': 142.0, 'per_month': 957.79, 'per_year': 6489.31}","['lunch', 'late_night', 'breakfast']","['Mediterranean', 'Contemporary American']",[]
9b5da408-ee41-416a-af97-fe397575f277,Eric Williams,29,sarah56@example.org,(382)478-4302x999,"Unit 2079 Box 7845
DPO AE 87012","{'seating_preference': 'indoor', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'background', 'table_size': '4-top', 'special_requests': []}",[],bronze,"{'visits_per_month': 8, 'last_visit': datetime.datetime(2025, 5, 22, 16, 18, 21, 518930), 'average_visit_duration': 63, 'preferred_visit_days': ['Wednesday', 'Friday', 'Saturday', 'Tuesday', 'Sunday', 'Thursday'], 'visit_pattern': 'seasonal'}","{'per_visit': 155.07, 'per_month': 494.9, 'per_year': 5858.74}","['lunch', 'breakfast', 'dinner', 'late_night']","['Contemporary American', 'Mediterranean']",[]
36ac52a9-8a84-41e9-846b-1a1a6f745d7f,Cody Becker,18,tsmith@example.net,(583)361-9435x5926,"45766 Thomas Street
Mitchellview, NH 66313","{'seating_preference': 'private_room', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'background', 'table_size': '6-top', 'special_requests': []}",[],gold,"{'visits_per_month': 1, 'last_visit': datetime.datetime(2024, 12, 1, 5, 25, 0, 598663), 'average_visit_duration': 119, 'preferred_visit_days': ['Thursday'], 'visit_pattern': 'regular'}","{'per_visit': 61.88, 'per_month': 823.04, 'per_year': 5760.13}","['lunch', 'breakfast']",['Contemporary American'],"[{'type': 'business_meeting', 'frequency': 'quarterly', 'preferred_seating': 'private_room', 'average_group_size': 4}]"
2df5e6bd-9230-44f0-a8cc-a0128629cb4c,Jeremy Shea,23,christinasnyder@example.com,271-482-1911,"07918 Snow Knolls Suite 850
East Edward, DE 97002","{'seating_preference': 'bar', 'noise_level': 'moderate', 'lighting': 'moderate', 'music_preference': 'background', 'table_size': '6-top', 'special_requests': ['booth']}",[],bronze,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2025, 1, 3, 18, 20, 35, 740431), 'average_visit_duration': 73, 'preferred_visit_days': ['Sunday', 'Saturday', 'Monday'], 'visit_pattern': 'seasonal'}","{'per_visit': 57.44, 'per_month': 607.34, 'per_year': 9698.62}","['breakfast', 'late_night', 'dinner']","['Mediterranean', 'Contemporary American']",[]
b8cd2c37-e434-4d8e-a6c6-d086dbb0c209,Brittany Atkinson,34,hernandezpaul@example.org,928.454.4903,"712 Gordon Avenue Suite 418
North Sarah, MN 01319","{'seating_preference': 'indoor', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'live', 'table_size': '4-top', 'special_requests': []}",[],silver,"{'visits_per_month': 3, 'last_visit': datetime.datetime(2025, 1, 9, 14, 8, 24, 40290), 'average_visit_duration': 174, 'preferred_visit_days': ['Wednesday', 'Thursday', 'Saturday', 'Monday'], 'visit_pattern': 'occasional'}","{'per_visit': 42.58, 'per_month': 753.61, 'per_year': 2774.26}","['dinner', 'late_night', 'lunch']","['Contemporary American', 'Mediterranean']",[]
be7b751c-62e4-458a-8bc9-3c7ea8af4211,Kimberly Caldwell,73,gregoryerickson@example.com,307-297-1754,"98177 Browning Loaf Suite 787
Harrisview, MD 87757","{'seating_preference': 'outdoor', 'noise_level': 'quiet', 'lighting': 'dim', 'music_preference': 'background', 'table_size': '2-top', 'special_requests': ['near kitchen']}",[],bronze,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2025, 1, 13, 10, 0, 2, 508407), 'average_visit_duration': 161, 'preferred_visit_days': ['Tuesday', 'Friday', 'Sunday', 'Wednesday', 'Saturday'], 'visit_pattern': 'regular'}","{'per_visit': 122.3, 'per_month': 487.82, 'per_year': 5258.71}",['dinner'],['Contemporary American'],"[{'type': 'celebration', 'frequency': 'quarterly', 'preferred_seating': 'main_dining', 'average_group_size': 3}]"
70977a4b-10b2-49aa-aecc-34014dab0de3,Jose Nelson,35,davidnewman@example.org,(240)603-6734x246,"95984 Ross Centers
South Erik, PR 95382","{'seating_preference': 'outdoor', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['booth']}","['shellfish-free', 'halal', 'vegan']",silver,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2025, 4, 16, 19, 15, 20, 838737), 'average_visit_duration': 63, 'preferred_visit_days': ['Sunday', 'Friday'], 'visit_pattern': 'special_occasions'}","{'per_visit': 43.69, 'per_month': 868.0, 'per_year': 8445.88}","['breakfast', 'lunch', 'dinner', 'late_night']",['Mediterranean'],"[{'type': 'date_night', 'frequency': 'monthly', 'preferred_seating': 'private_room', 'average_group_size': 6}]"
